Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Application type (product.metafields.shopify.application-type),Body area (product.metafields.shopify.body-area),Caffeine content (product.metafields.shopify.caffeine-content),Cleanser type (product.metafields.shopify.cleanser-type),Color (product.metafields.shopify.color-pattern),Conditioner effect (product.metafields.shopify.conditioner-effect),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Coverage level (product.metafields.shopify.coverage-level),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),Dietary use (product.metafields.shopify.dietary-use),Digestive supplement type (product.metafields.shopify.digestive-supplement-type),Dispenser type (product.metafields.shopify.dispenser-type),Exfoliation method (product.metafields.shopify.exfoliation-method),Face area (product.metafields.shopify.face-area),Flavor (product.metafields.shopify.flavor),Food supplement form (product.metafields.shopify.food-supplement-form),Fragrance (product.metafields.shopify.fragrance),Fragrance level (product.metafields.shopify.fragrance-level),Hair care finish (product.metafields.shopify.hair-care-finish),Hair care items included (product.metafields.shopify.hair-care-items-included),Hair treatment effect (product.metafields.shopify.hair-treatment-effect),Ingredient origin (product.metafields.shopify.ingredient-origin),Ingredients (product.metafields.shopify.ingredients),Lip makeup opacity (product.metafields.shopify.lip-makeup-opacity),Makeup shade (product.metafields.shopify.makeup-color-shade),Makeup features (product.metafields.shopify.makeup-features),Material (product.metafields.shopify.material),Moisturizer type (product.metafields.shopify.moisturizer-type),PA rating (product.metafields.shopify.pa-rating),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Rinse requirement (product.metafields.shopify.rinse-requirement),Route of administration (product.metafields.shopify.route-of-administration),Shape (product.metafields.shopify.shape),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),SPF level (product.metafields.shopify.spf-level),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Supplement health focus (product.metafields.shopify.supplement-health-focus),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bahrain,Price / Bahrain,Compare At Price / Bahrain,Included / BH Retail,Price / BH Retail,Compare At Price / BH Retail,Included / Zone 1 - GCC,Price / Zone 1 - GCC,Compare At Price / Zone 1 - GCC,Included / Zone 2,Price / Zone 2,Compare At Price / Zone 2,Included / Zone 3,Price / Zone 3,Compare At Price / Zone 3,Included / Zone 4,Price / Zone 4,Compare At Price / Zone 4,Included / Zone 5,Price / Zone 5,Compare At Price / Zone 5,Included / Zone 8,Price / Zone 8,Compare At Price / Zone 8,Included / zone 6,Price / zone 6,Compare At Price / zone 6,Included / zone 7,Price / zone 7,Compare At Price / zone 7,Status
peptide-132-ultra-perfect-hair-bonding-shampoo-200ml,Peptide-132 Ultra Perfect Hair Bonding Shampoo 200ml,"<p data-start=""2263"" data-end=""2612"">COSRX Peptide-132 Ultra Perfect Hair Bonding Shampoo is a gentle yet effective cleanser designed to remove impurities while strengthening and repairing damaged hair. Enriched with Peptide-132, it helps restore hair structure, improve elasticity, and reduce breakage. Leaves hair feeling clean, soft, and healthier with every wash.</p>
<p data-start=""2614"" data-end=""2772""><strong data-start=""2614"" data-end=""2628"">How to Use</strong><br data-start=""2628"" data-end=""2631"">Apply to wet hair and scalp. Massage gently to create a lather, then rinse thoroughly. Follow with conditioner or treatment for best results.</p>
<p data-start=""2774"" data-end=""2832""><strong data-start=""2774"" data-end=""2802"">Full List of Ingredients</strong><br data-start=""2802"" data-end=""2805"">Water, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Sodium Chloride, Glycerin, Butylene Glycol, Hydrolyzed Keratin, Peptide-132, Panthenol, Polyquaternium-10, Citric Acid, Disodium EDTA, Fragrance<br></p>
<p data-start=""2834"" data-end=""2853""><strong data-start=""2834"" data-end=""2842"">Size</strong><br data-start=""2842"" data-end=""2845"">200 ml</p>",COSRX,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo,"COSRX, Damaged Hair, hair care, Hair Repair, South Korea, Weak Hair",true,Title,Default Title,,,,,,,,,600.0,shopify,19,deny,manual,6.000,7.000,true,true,,,,,'8809598457331,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG-1547.jpg?v=1776187632,1,"",false,,,543615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.500,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
peptide-132-ultra-perfect-hair-bonding-oil-serum-28ml,Peptide-132 Ultra Perfect Hair Bonding Oil Serum 28ml,"<p data-start=""1350"" data-end=""1798"">COSRX Peptide-132 Ultra Perfect Hair Bonding Oil Serum is a nourishing treatment designed to repair and strengthen damaged hair while restoring smoothness and shine. Infused with Peptide-132, it helps reinforce hair bonds, reduce frizz, and protect against daily styling damage. The lightweight oil texture absorbs quickly without leaving a greasy residue, leaving hair soft, manageable, and healthy-looking with a natural shine.</p>
<p data-start=""1800"" data-end=""1977""><strong data-start=""1800"" data-end=""1814"">How to Use</strong><br data-start=""1814"" data-end=""1817"">Apply a small amount to damp or dry hair, focusing on mid-lengths to ends. Style as desired. Can be used before or after styling for added shine and protection.</p>
<p data-start=""1979"" data-end=""2037""><strong data-start=""1979"" data-end=""2007"">Full List of Ingredients</strong><br data-start=""2007"" data-end=""2010"">Cyclopentasiloxane, Dimethicone, Dimethiconol, C12-15 Alkyl Benzoate, Argania Spinosa Kernel Oil, Camellia Japonica Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Hydrolyzed Keratin, Peptide-132, Tocopherol, Fragrance<br></p>
<p data-start=""2039"" data-end=""2057""><strong data-start=""2039"" data-end=""2047"">Size</strong><br data-start=""2047"" data-end=""2050"">28 ml</p>",COSRX,Uncategorized,Hair Serum,"Damaged Hair, Frizz Control, hair care, Hair Repair, Shine, South Korea",true,Title,Default Title,,,,,,,,,600.0,shopify,19,deny,manual,5.500,7.000,true,true,,,,,'8809598457355,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG-1550.webp?v=1776187863,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
pore-dark-spot-brightening-cream-35ml,Pore+Dark Spot Brightening Cream 35ml,"<p data-start=""363"" data-end=""850"">Celimax Pore+Dark Spot Brightening Cream is a lightweight yet effective cream designed to visibly improve dark spots and uneven skin tone while maintaining optimal hydration. Formulated with brightening ingredients, it helps enhance skin clarity and promote a more radiant complexion. Its non-greasy texture absorbs easily into the skin, delivering moisture without clogging pores. Perfect for daily use, it helps reveal smoother, brighter, and more even-looking skin.</p>
<p data-start=""852"" data-end=""1046""><strong data-start=""852"" data-end=""866"">How to Use</strong><br data-start=""866"" data-end=""869"">As the final step of your skincare routine, apply evenly to clean, dry skin after cleanser, toner, and serums. Gently massage or pat into the face and neck until fully absorbed.</p>
<p data-start=""1048"" data-end=""1106""><strong data-start=""1048"" data-end=""1076"">Full List of Ingredients</strong><br data-start=""1076"" data-end=""1079"">Water, Glycerin, Niacinamide, Butylene Glycol, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Glyceryl Stearate, Panthenol, Allantoin, Sodium Hyaluronate, Tranexamic Acid, Arbutin, Carbomer, Arginine, Disodium EDTA, Ethylhexylglycerin<br></p>
<p data-start=""1108"" data-end=""1126""><strong data-start=""1108"" data-end=""1116"">Size</strong><br data-start=""1116"" data-end=""1119"">35 ml</p>",Celimax,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,Cream,"All Skin Types, Brightening, Celimax, Cream, Dark Spots, Pigmentation, Skin Care, South Korea, Uneven Skin",true,Title,Default Title,,,,,,,,,500.0,shopify,37,deny,manual,6.800,,true,true,,,,,'8809971484503,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG-1436.webp?v=1776071815,1,"",false,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,5.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
6-in-1-maxshield-100-mineral-ultra-sheer-sunscreen-spf120,6-in-1 MaxShield 100% Mineral Ultra Sheer Sunscreen SPF120+ 100ml,"<p><span>Introducing the new Luxe Organix 6-in-1 MaxShield Mineral Sunscreen — the perfect everyday sun protection for the whole family this summer season!<span class=""Apple-converted-space""> </span></span></p>
<p><span>Formulated with SPF 120+ broad spectrum protection, this multitasking mineral sunscreen is designed for both face and body. Infused with ZN Derm, it’s gentle enough for sensitive skin and suitable for babies (6 months old and above), pregnant moms, and lactating moms.</span></p>
<p><span>Aside from high sun protection, it also contains skin-caring ingredients like Ceramides to help keep the skin hydrated while supporting a healthy skin barrier.<span class=""Apple-converted-space""> </span></span></p>
<p><span><span class=""Apple-converted-space""><strong>Size</strong><br>100 ml </span></span></p>",Luxe Organix,Uncategorized,Sunscreen,"Luxe Organix, Skin Care, Sunscreen",true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,5.500,,true,true,,,,,'4809013017083,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/8017D8BE-9BB1-41D0-9DCD-3B7FE0AC39FA.jpg?v=1779895864,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
dark-spot-fading-toning-pads,Dark Spot Fading Toning Pads,"",BeautybyKat,,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.000,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,draft
acne-sebum-clearing-toning-pads,Acne & Sebum Clearing Toning Pads,"",BeautybyKat,,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.000,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,draft
acne-defense-mugwort-clay-stick-oil-control-pore-minimizing-52g,Acne Defense Mugwort Clay Stick Oil Control + Pore Minimizing 40g,"<p>Luxe Organix Mugwort Clay Mask is a popular, convenient, stick-type clay mask designed to deep clean pores, treat acne, and calm inflammation. It provides a soothing, cooling sensation that helps balance oily skin and protect the skin barrier. Perfect for those seeking targeted skincare that combines efficacy with ease of application.</p>
<p><meta charset=""UTF-8""><strong>How to Use</strong><br><span>Twist the stick to dispense a small amount of the clay mask. Gently apply to clean, dry skin, concentrating on areas with excess oil or visible pores. Avoid the eye and mouth areas. Leave on for 5–10 minutes, then rinse thoroughly with lukewarm water. Use 2–3 times a week for best results.</span></p>
<div class=""product__description rte quick-add-hidden"">
<p><span><strong>Size</strong><br>40 g</span></p>
</div>",Luxe Organix,Health & Beauty > Personal Care > Cosmetics > Skin Care > Acne Treatments & Kits,Mask,"All Skin Types, Congested Pores, Enlarged Pores, Luxe Organix, Sensitive, Skin Care, Uneven Skin",true,Title,Default Title,,,,,,,,,400.0,shopify,97,deny,manual,3.850,,true,true,,,,,'4809013016130,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG-0754.webp?v=1775249508,1,"",false,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.500,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
dark-fading-spot-niacinamide-clay-mask-52g,Dark Fading Spot Niacinamide Clay Mask 52g,"<p>Luxe Organix Dark Fading Spot Niacinamide Clay Mask is a glow-boosting and barrier-supporting clay mask formulated to reveal visibly brighter and smoother skin. Enriched with Niacinamide, PDRN, and Tranexamic Acid, this serum-infused clay mask stick helps brighten dull skin and fade dark spots while unclogging pores and refining skin texture. Its creamy formula gently draws out impurities without over-drying, leaving your skin feeling fresh, smooth, and radiant after every use.</p>
<p><strong>How to Use</strong><br><span>Twist the stick to dispense a small amount of the clay mask. Gently apply to clean, dry skin, concentrating on areas with excess oil or visible pores. Avoid the eye and mouth areas. Leave on for 5–10 minutes, then rinse thoroughly with lukewarm water. Use 2–3 times a week for best results.</span></p>
<p><span><strong>Full List of Ingredients<br></strong>Aqua (Water), Glycerin, Kaolin, Propylene Glycol, Sodium Stearate, PEG-8, PEG-7 Glyceryl Cocoate, PEG-32, Hydroxyacetophenone, Niacinamide, Hydrogenated Castor Oil, Dipotassium Glycyrrhizate, Silica, Ascorbic Acid, Moroccan Lava Clay, Fragrance, Xanthan Gum, Salicylic Acid, Centella Asiatica Leaf Extract, Tranexamic Acid, Sodium DNA, Propanediol, Erythritol, Glycyrrhiza Glabra (Licorice) Root Extract, Hydroxypropyl Cyclodextrin, Collagen, Inonotus Obliquus (Mushroom) Extract, Lycium Chinense Fruit Extract, Artemisia Capillaris Extract, Scutellaria Baicalensis Root Extract, Morus Alba Bark Extract, CI 77891, CI 77491</span></p>
<p><span><strong>Size</strong><br>52 g</span></p>",Luxe Organix,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,clay mask,"All Skin Types, Luxe Organix, Oily, Pigmentation, Skin Care, Uneven Texture",true,Title,Default Title,,,,,,,,,400.0,shopify,110,deny,manual,3.900,,true,true,,,,,'4809013016147,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG-0751.webp?v=1775248996,1,"",false,,,6262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.000,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
dark-fading-spot-niacinamide-clay-mask-52g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG-0753.webp?v=1775248996,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bye-bye-bum-bumps-clear-firm-cellulite-cream-230g,Bye Bye Bum Bumps Clear & Firm Cellulite Cream 230g,"<p><meta charset=""UTF-8""><span>Say hello to Luxe Organix Bye Bye Bum Bumps Clear &amp; Firm Cellulite Cream, the ultimate solution for a smoother, firmer derrière! Infused with Niacinamide, Retinol, Caffeine, and Cupuaçu Butter, this rich formula deeply hydrates while targeting cellulite and uneven skin texture. Watch as this cream swoops in to help improve skin elasticity, tone, and firmness, leaving your bum soft, silky, and beautifully contoured.</span></p>
<p><span><strong>How to Use</strong><br>After showering, apply the bum bum cream to the desired area and other cellulite-prone parts of the body. Massage gently in circular motions until completely absorbed. For optimal results, include it in both your morning and evening body care routine. </span></p>
<p><span>Insider Tip: Can also be used on the thighs, hips, and any other cellulite-prone spots craving some TLC.</span></p>
<p><span><strong>Full List of Ingredients<br></strong>Water, Ethylhexyl Palmitate, Glycerin, Dimethicone, Cetearyl Alcohol, Dipropylene Glycol, Niacinamide, Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil, Lauric/Myristic/Palmitic/Stearic Glycerides, Fragrance, Phenoxyethanol, PEG-100 Stearate, 1,2-Hexanediol, Hydroxyacetophenone, Ceteareth-20, Ammonium Polyacryloyldimethyl Taurate, Tocopheryl Acetate, Butyrospermum Parkii (Shea) Butter, Theobroma Grandiflorum Seed Butter, Caffeine, Panthenol, Retinol, Cyclodextrin, Caprylic/Capric Triglyceride, CI 17200, CI 42090</span></p>
<p><span><strong>Size</strong><br>230 g</span></p>",Luxe Organix,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotions & Moisturizers,Body Cream,"Body Brightening, Body Care, Body Pigmentation, Luxe Organix",true,Title,Default Title,,,,,,,,,500.0,shopify,141,deny,manual,4.200,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG-0750.jpg?v=1775248457,1,"",false,,,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.750,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
dermapro-melasma-clear-300-liquid-microneedle-spicule-bright-serum-30ml,DermaPRO Melasma Clear 300 Liquid Microneedle Spicule Bright Serum 30ml,"<p><meta charset=""UTF-8""><span>Luxe Organix DermaPRO Melasma Clear 300 Liquid Microneedle Spicule Bright Serum is a brightening serum that visibly reduces post-acne marks and dark spots. Formulated with 8% Beta and Alpha Arbutin, 5% Panthenol, 2% Niacinamide, and 1% Tranexamic Acid, it visibly brightens, refines skin texture, and evens out skin tone. Infused with micro-spicules for enhanced absorption, it leaves skin clearer, smoother, and more luminous. Reveal your most radiant skin with Luxe Organix TXA Melasma Clear Serum.</span></p>
<p><span><meta charset=""UTF-8"">
<b>How to Use</b><br>Apply a thin layer to clean face after toner and before heavier creams. Gently pat your face until product has been fully absorbed.</span></p>
<p><span><strong>Full List of Ingredients</strong><br>Water (Aqua), Arbutin, Panthenol, Butylene Glycol, Niacinamide, 1,2-Hexanediol, Hydroxyethyl Urea, Glycerin, Dipropylene Glycol, Tranexamic Acid, Alpha-Arbutin, Carbomer, Sodium Polyacrylate, Mandelic Acid, Phenyl Trimethicone, Polysorbate 60, Bakuchiol, Hydrolyzed Sponge, Triethanolamine, Ethylhexylglycerin, Adenosine, Disodium EDTA, Sodium Hyaluronate, Ceramide NP, Tocopherol, Saccharum Officinarum (Sugarcane) Extract, Hydrogenated Lecithin, Salix Alba (Willow) Bark Extract, Polyglyceryl-10 Stearate, Tocopheryl Acetate, Phenoxyethanol, Sodium Ascorbyl Phosphate, Beta-Glucan, Glyceryl Arachidonate, Glyceryl Linolenate, Glutathione, Retinyl Palmitate, Biotin, Folic Acid, Pyridoxine, Thiamine HCl, Cyanocobalamin.</span></p>
<p><span><strong>Size</strong><br>30 ml</span></p>",Luxe Organix,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,Serum,"All Skin Types, Dehydration, Pigmentation, Serum, Skin Care, South Korea",true,Title,Default Title,,,,,,,,,500.0,shopify,330,deny,manual,6.500,,true,true,,,,,'4809013016192,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG-0749.webp?v=1775247937,1,"",false,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.500,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
dermapro-txa-melasma-clear-exo-10-exosome-bright-treatment-cream-150ml,DermaPRO TXA Melasma Clear Exo-10 Exosome Bright Treatment Cream 150ml,"<p><meta charset=""UTF-8""><span>Luxe Organix DermaPRO TXA Melasma Clear Exosome Bright Treatment Cream combines 0.5% PDRN and Ceramides to strengthen the skin barrier and enhance hydration. Infused with Panthenol, Niacinamide, and Adenosine, it aids in brightening dull skin, promoting a healthier complexion while restoring skin’s natural glow.</span><br></p>
<p><span><b>How to Use</b><br><meta charset=""UTF-8"">As the final step of your skincare routine, apply evenly to clean, dry skin after cleanser, toner, and serums to seal in moisture. Gently massage or pat into the face and neck until fully absorbed.<br></span></p>
<p><span><strong>Full List of Ingredients</strong><br>Water, Stearyl Alcohol, Cetearyl Alcohol, Niacinamide, Dipropylene Glycol, Oleyl Alcohol, Butylene Glycol, Hydroxyacetophenone, Arginine, Carbomer, Sodium DNA, Caprylyl Glycol, Glyceryl Stearate, Panthenol, PEG-75 Lanolin, Stearic Acid, Allantoin, Centella Asiatica Extract, Cetyl Ethylhexanoate, Adenosine, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Disodium EDTA, Camellia Sinensis Leaf Extract, Dipotassium Glycyrrhizate, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Ceramide NP, Hydrogenated Lecithin, Centella Asiatica Leaf Vesicles, 1,2-Hexanediol, Ceramide NS, Ceramide AS, Ceramide AP, Cholesterol, Sodium Chloride, Trehalose, Disodium Phosphate, Potassium Phosphate, Potassium Chloride, Ceramide EOP.</span></p>
<p><span><strong>Size</strong><br>150 ml</span></p>",Luxe Organix,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Cream,"Aging and Wrinkles, All Skin Types, Cream, Dehydration, Skin Care, South Korea",true,Title,Default Title,,,,,,,,,300.0,shopify,335,deny,manual,4.900,,true,true,,,,,'4809013016185,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG_0745.jpg?v=1775246702,1,"",false,,,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.500,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
dermapro-txa-melasma-clear-6-0-complexion-bright-exfoliating-toner-150ml,DermaPRO TXA Melasma Clear 6.0 Complexion Bright Exfoliating Toner 150ml,"<p><meta charset=""UTF-8""><span>Luxe Organix DermaPRO TXA Melasma Clear 6.0 Complexion Bright Exfoliating Toner is a gentle exfoliating toner that helps fade dark spots and even out skin tone. With 3% Glycolic Acid, 2% Niacinamide, 1% Tranexamic Acid, and 6x Peptide complex, it brightens dull skin, refines texture, helps fade dark spots, and reveals a smoother, more radiant complexion. Reveal your most radiant skin with Luxe Organix TXA Melasma Clear 6.0 Toner.</span></p>
<p><span><strong>How to Use</strong></span><br>Use after cleansing. Apply a few drops to a cotton pad or your fingers and pat gently onto the face. <strong></strong></p>
<p><strong>Full List of Ingredients</strong><br><span>Water (Aqua), Tromethamine, Glycolic Acid, Niacinamide, Tranexamic Acid, Propanediol, Caprylyl Glycol, Ethylhexylglycerin, Adenosine, Disodium EDTA, Caprylic/Capric Triglyceride, Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract, Glycerin, Ascorbic Acid, 1,2-Hexanediol, Dipropylene Glycol, Cetyl Ethylhexanoate, Hydrogenated Lecithin, Butylene Glycol, Cholesterol, Polyglyceryl-10 Stearate, Polyglyceryl-10 Laurate, Panthenol, Ubiquinone, Tocopherol, Ferulic Acid, Tocopheryl Acetate, Sodium Ascorbyl Phosphate, Glutathione, Glyceryl Arachidonate, Glyceryl Linolenate, Palmitoyl Tripeptide-1, Palmitoyl Pentapeptide-4, Hexapeptide-9, Retinyl Palmitate, Biotin, Acetyl Hexapeptide-8, Folic Acid, Pyridoxine, Thiamine HCl, Tripeptide-1, Copper Tripeptide-1, Cyanocobalamin.</span></p>
<p><span><meta charset=""UTF-8"">
<strong>Size</strong><br>150 ml<br> </span></p>",Luxe Organix,Health & Beauty > Personal Care > Cosmetics > Skin Care > Toners & Astringents > Toners,Toner,"All Skin Types, Luxe Organix, Philippines, Skin Care, Toner, Uneven Skin",true,Title,Default Title,,,,,,,,,200.0,shopify,334,deny,manual,5.250,,true,true,,,,,'4809013016178,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG_0739.jpg?v=1775245205,1,"",false,,,543658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.500,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
dermapro-txa-melasma-clear-6-0-complexion-bright-exfoliating-toner-150ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0692/0133/0422/files/IMG_0740.jpg?v=1775245205,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
